ProductName,FotoName,FotoCode,Quantity,Price,RetailPrice
Р-5223,Фисташковый,100003530,"6,00","1680,00","2520,00"
Р-5223,Сиреневый,100003529,"6,00","1680,00","2520,00"
Р-5223,Коричневый тем,100003541,0,"1680,00","2520,00"
Р-5233,Белый,100003444,"2,00","2280,00","2700,00"
Р-5233,Голубой,100003446,"2,00","2280,00","2700,00"
Р-5233,Бордо,100003445,"2,00","2280,00","2700,00"
Р-5233,Черный,100003453,"5,00","2280,00","2700,00"
Р-5233,Аттика Бордо,100003442,"4,00","2280,00","2700,00"
Р-5233,Красный,100003448,"8,00","2280,00","2700,00"
Р-5233,Аттика Коричневый тем,100003443,"6,00","2280,00","2700,00"
Р-5233,Крокодил Теракотовый,100003451,"3,00","2280,00","2700,00"
Р-5233,Крокодил Белый,100003449,"2,00","2280,00","2700,00"
Р-5233,Крокодил Черный,100003452,"6,00","2280,00","2700,00"
Р-5233,Бежевый светлый,100003532,"6,00","2280,00","2700,00"
Р-5233,Сиреневый,100003538,"1,00","2280,00","2700,00"
Р-5233,Бежевый темный,100003533,"4,00","2280,00","2700,00"
Р-5233,Лазурный,100003536,"6,00","2280,00","2700,00"
Р-5233,Коричневый тем,100003542,0,"2280,00","2700,00"
Р-5233,Коричнево-рыжий,100003535,"5,00","2280,00","2700,00"
Р-5233,Желтый,100003534,"2,00","2280,00","2700,00"
Р-5233,Оливковый,100003537,"2,00","2280,00","2700,00"
Р-5233,Фисташковый,100003539,"4,00","2280,00","2700,00"
Р-5236,ДжинсЗвезды синий - Серый,100004010,0,"1140,00","1980,00"
Р-5236,ДжинсОлень синий - Коричневый тем,100004011,0,"1140,00","1980,00"
Р-5236,Снежинки беж-бел-бордо - Бордо,100004017,"10,00","1140,00","1980,00"
Р-5236,СкандиЗигЗаг бордо - Бордо,100004012,0,"1140,00","1980,00"
Р-5236,СкандиПолосы красн-бордо - Коричневый тем,100004014,0,"1140,00","1980,00"
Р-5236,ОлениЕлки красный - Коричневый,100004016,"10,00","1140,00","1980,00"
Р-5236,Снежинки беж-красный - Бежевый св,100004018,"10,00","1140,00","1980,00"
Р-5236,СкандиЗигЗаг синий - Черный,100004013,0,"1140,00","1980,00"
Р-5236,ОлениЕлки беж-бел - Молочный,100004015,"4,00","1140,00","1980,00"
Р-5243,ДжинсЗвезды синий - Серый,100004019,0,"1380,00","2280,00"
Р-5243,СкандиЗигЗаг бордо - Бордо,100004023,0,"1380,00","2280,00"
Р-5243,СкандиЗигЗаг синий - Черный,100004024,"10,00","1380,00","2280,00"
Р-5243,ОлениЕлки красный - Коричневый,100004022,"10,00","1380,00","2280,00"
Р-5243,СкандиПолосы красн-бордо - Коричневый тем,100004025,"2,00","1380,00","2280,00"
Р-5243,Снежинки беж-бел-бордо - Бордо,100004026,"9,00","1380,00","2280,00"
Р-5243,ДжинсОлень синий - Коричневый тем,100004020,0,"1380,00","2280,00"
Р-5243,Снежинки беж-красный - Бежевый св,100004027,"10,00","1380,00","2280,00"
Р-5243,ОлениЕлки беж-бел - Молочный,100004021,"9,00","1380,00","2280,00"
Р-5261,Аттика Бордо,100003543,0,"1800,00","2700,00"
Р-5261,Черный,100003547,0,"1800,00","2700,00"
Р-5261,Крокодил Теракотовый,100003554,"1,00","1800,00","2700,00"
Р-5261,Фисташковый,100003551,"2,00","1800,00","2700,00"
Р-5261,Крокодил Белый,100003552,0,"1800,00","2700,00"
Р-5261,Аттика Коричневый тем,100003544,0,"1800,00","2700,00"
Р-5261,Крокодил Черный,100003555,"2,00","1800,00","2700,00"
Р-5261,Коричневый тем,100003546,0,"1800,00","2700,00"
Р-5261,Крокодил Серый,100003553,0,"1800,00","2700,00"
Р-5261,Белый,100003545,"1,00","1800,00","2700,00"
Р-5261,Бордо,100003548,0,"1800,00","2700,00"
Р-5261,Желтый,100003550,0,"1800,00","2700,00"
Р-5261,Голубой,100003549,"1,00","1800,00","2700,00"
Р-5263,Аттика Бордо,100003556,0,"1800,00","2700,00"
Р-5263,Черный,100003568,0,"1800,00","2700,00"
Р-5263,Белый,100003558,"1,00","1800,00","2700,00"
Р-5263,Крокодил Серый,100003564,0,"1800,00","2700,00"
Р-5263,Аттика Коричневый тем,100003557,0,"1800,00","2700,00"
Р-5263,Коричневый тем,100003562,0,"1800,00","2700,00"
Р-5263,Желтый,100003561,0,"1800,00","2700,00"
Р-5263,Бордо,100003559,0,"1800,00","2700,00"
Р-5263,Крокодил Теракотовый,100003565,"2,00","1800,00","2700,00"
Р-5263,Крокодил Белый,100003563,0,"1800,00","2700,00"
Р-5263,Крокодил Черный,100003566,"1,00","1800,00","2700,00"
Р-5263,Фисташковый,100003567,"2,00","1800,00","2700,00"
Р-5263,Голубой,100003560,"1,00","1800,00","2700,00"
Р-5280,Бежевый светлый,000003599,"6,00","1800,00","2090,00"
Р-5280,Коричневый темный,000003597,0,"1800,00","2090,00"
Р-5280,Бордо,000003590,"1,00","1800,00","2090,00"
Р-5280,Черный,000003598,0,"1800,00","2090,00"
Р-5280,Кофейный - Беж св,000003596,"4,00","1800,00","2090,00"
Р-5280,Сиреневый - Белый,000003589,"1,00","1800,00","2090,00"
Р-5280,Красный,000003593,0,"1800,00","2090,00"
Р-5280,Голубой,000003592,"9,00","1800,00","2090,00"
Р-5280,Бежевый св - Желтый,000003594,"4,00","1800,00","2090,00"
Р-5280,Белый,000003595,"1,00","1800,00","2090,00"
Р-5280,Желтый,000003588,0,"1800,00","2090,00"
Р-5280,Сиреневый,000003600,0,"1800,00","2090,00"
Р-5280,Оливковый - Беж св,000003591,"6,00","1800,00","2090,00"
Р-5280,Кофейный,100003175,0,"1800,00","2090,00"
Р-5280,Аттика Бордо,100003578,"4,00","1800,00","2090,00"
Р-5280,Лазурный,100003586,0,"1800,00","2090,00"
Р-5280,Коричнево-рыжий,100003581,0,"1800,00","2090,00"
Р-5280,Крокодил Теракотовый,100003584,"3,00","1800,00","2090,00"
Р-5280,Фисташковый,100003587,"5,00","1800,00","2090,00"
Р-5280,Крокодил Белый,100003582,"3,00","1800,00","2090,00"
Р-5280,Аттика Коричневый тем,100003579,"6,00","1800,00","2090,00"
Р-5280,Крокодил Черный,100003585,"5,00","1800,00","2090,00"
Р-5280,Крокодил Серый,100003583,"6,00","1800,00","2090,00"
Р-5280,Аттика Песочный,100003580,"6,00","1800,00","2090,00"
Р-5281,Бежевый св - Желтый,000003602,"3,00","2160,00","2280,00"
Р-5281,Коричневый темный,000003607,0,"2160,00","2280,00"
Р-5281,Желтый,000003606,"2,00","2160,00","2280,00"
Р-5281,Бежевый светлый,000003601,"3,00","2160,00","2280,00"
Р-5281,Сиреневый,000003610,"2,00","2160,00","2280,00"
Р-5281,Черный,000003612,0,"2160,00","2280,00"
Р-5281,Сиреневый - Белый,000003611,"5,00","2160,00","2280,00"
Р-5281,Кофейный - Беж св,000003608,"10,00","2160,00","2280,00"
Р-5281,Оливковый - Беж св,000003609,"4,00","2160,00","2280,00"
